english,japanese
"# Chapter Twenty-Three: Atmospheres and Frameworks","# 第23章：雰囲気とフレームワーク"
"## Theme","## テーマ"
"| It is important to develop ... | Purpose |","| ワークの場で作るべきもの | 目的 |"
"| ---- | ---- |","| ---- | ---- |"
"| a special atmosphere | to hold the whole process |","| 特別な雰囲気 | プロセス全体を支えるための |"
"| framework within which to work | to process the secondary one inf safe|","| ワークを進めるためのフレームワーク | セカンダリー・プロセスを安全に促進させるための |"
"![atmosphere](img/atmospheres.svg)","![atmosphere](img/atmospheres.svg)"
"![framework](img/framework.svg)","![framework](img/framework.svg)"
"### [memo] frame, framework in normal contexts?","### [memo] 一般的な文脈でのframe、frameworkとは？"
"## 1. Atmosphere","## 1. 雰囲気"
"It is important to develop a special atmosphere","特別な雰囲気を作る"
"to hold the whole process","プロセス全体を支えるため"
"### Usage examples","### 使用例"
"- To free the client from GHOST.","- クライアントをGHOSTから解放するため"
"- To create an atmosphere that the client feels safe and the therapist supportive.","- クライアントが安全とセラピストからのサポーティブな雰囲気を感じられるようにするため"
"- The client feels punitive towards himself and sees even the therapist as potentially threatening.","- クライアントが自分を責め、セラピストさえも潜在的な脅威として見てしまうこともある"
"- To free the client from altered state of consciousness.","- クライアントを変性意識状態から解放するため"
"- To create an atmosphere that allows the client to have some distance from the experiences.","- クライアントが体験から適度な距離を取れる雰囲気を作るため"
"- If a client is in panic (altered states of consciousness) and hard to concentrate.","- クライアントがパニック状態（変性意識状態）で集中が難しいこともある"
"> Note: Subtle things may be crucial, even you never done consciously or remember it, though.","> 注：セラピストが意識的に行っていない、覚えていないような微細なこともが重要な意味を持つことがある"
"## 2. Framework","## 2. フレームワーク"
"It is important to develop framework within which to work","ワークを進めるためのフレームワークを作る"
"to safely process to the secondary one.","セカンダリー・プロセスを安全に促進させるため"
">### [memo] Auxiliary line",">### [memo] このテーマを理解するための「そもそもの前提」"
">#### Why framing the secondary process is necessary?",">#### なぜ、セカンダリー・プロセスにフレームワークを作ることが必要なのだろうか？"
">- In the secondary process, the client doesn't have any clues in ordinary manner",">- セカンダリー・プロセスでは、クライアントは通常の方法で手がかりを得られない"
">- Anything could arise",">- セカンダリー・プロセスでは、何が起こるかわからない"
">- Even the therapist would be entangled in the conflict within the client - as described later",">- 後述するように、セラピストさえもクライアントの葛藤に巻き込まれる可能性がある"
">So, how the client processes the work in such distressed situation?",">では、クライアントはこのような困難な状況下でどのように作業を進められるのか？"
"| Term | Nuance | Definition, Meaning |","| 用語 | ニュアンス | 定義・意味 |"
"| ---- | ------ | ------------------ |","| ---- | ------------------ | ------ |"
"> | frame | Physical, object-oriented | A rigid structure that surrounds something such as a picture, door, or windowpane. border, skeleton, structure, ... |","> | frame | 構造 |絵画、ドア、窓枠などを囲む固定的な構造物。 境界、骨格、構造、... | "
"> | framework | Policy/methodology-oriented | Systematic operational policy for stable operations. groundwork, plan, scheme, structure, ... |","> | framework | 手続き |安定した運用のための体系的な方針。 基盤、計画、枠組み、仕組み、... | "
"### Frame and Framework as described in this chapter:","### 本章で述べられるFrameとフレームワーク："
"| frame | Physical, object-oriented | A rigid structure that surrounds the secondary process |","| frame | 構造 | 二次プロセスを支える枠組み(構造) |"
"| framework | Policy/methodology-oriented | Systematic operational policy to process secondary one |","| framework | 手続き | 二次プロセスを進行させるときの決まりごと(手続き) |"
"Frame's functions:","Frameの機能："
"- hold onto what has occurred","- 起きた出来事を保持する"
"- make a space for what has occurred","- 起きた出来事のための空間を作る"
"- appreciate what has occurred","- 起きた出来事を肯定的に認める(appreciate)"
"so that ... :","これにより："
"- ask the client to explore what happened cautiously (in slow motion, for instance)","- クライアントに、起こったことを慎重に（たとえばスローモーションで）探索するよう促せられる"
"- the client to notice subtle feelings that arise in connection with what happened","- クライアントが、起こったことに関連して生じる微細な感覚に気づけるようになる"
"### Creating a framework","### フレームワークの作り方"
"Frameworks could be created spontaneously, depending on the therapist's style and the atmosphere.","フレームワークは、「セラピストのスタイル」と「そのワークの雰囲気」に応じ、自然に作られる"
"#### Clues to creating one:","#### 作り方のヒント："
"- Talk to primary process about secondary","- セカンダリー・プロセスについてプライマリー・プロセスに話しかける"
"- Dream maps","- ドリームマップ"
"- Ghost stories","- ゴーストストーリー"
"#### Ideas:","#### アイデア："
"- In a timely manner (for only 2 minutes, for instance)","- 時間的制約をかける（たとえば「2分だけやってみる」など）"
"- The therapist act out as the client did and give him/her chance to observe it","- セラピストがクライアントの行動を演じて見せ、観察の機会を与える"
"- Treat the conflict between the client and the therapist (perhaps as the client's defense)","- クライアントとセラピストとの間で生じた葛藤を扱う（このときは、クライアント側に立って行う）"
"- so that the client can handle the situation and be conscious of what is happening","- クライアントが状況に対処できるように、何が起きているかを意識できるように"
"- think about the situation together","- 状況について一緒に考える"
"#### An example (step by step):","#### 例（step by step）："
"1. A conflict arose between the therapist and the client.","1. セラピストとクライアントの間に葛藤が生じた"
"2. The client said ""doesn't want anyone in his space.""","2. クライアントは「自分の空間に誰も入ってほしくない」と言った"
"3. The therapist first showed respect for the client's needs.","3. セラピストはまずクライアントのニーズを尊重した"
"4. Then proposed that she move toward the client little by little and check his feelings out.","4. セラピストは、「自分が少しずつクライアントに近づきながら、彼自身の感情の変化を確認してみること」を提案した"
"#### Points for the example:","#### この例のポイント："
"1. The client had full leadership and direction over the conflict situation","1. クライアントが葛藤状況における主導権と方向性を持つようにした"
"2. Set a framework to make him CONSCIOUSLY involved","2. クライアントが状況に意識的に関われるようにフレームワークを設定した"
"## Overall","## 全体として"
"1. Client's safety","1. クライアントの安全"
"- Developing framework within which the therapy safely processes.","- セラピーが安全にプロセスを進められるフレームワークを発展させる"
"2. Client's consciousness","2. クライアントの意識性"
"- Client him/herself can handle the situation.","- クライアント自身が状況に対処できる"
"3. Meta communications","3. メタ・コミュニケーション"
"- Create framework flexibly with the flow of the process.","- プロセスの流れに応じて柔軟にフレームワークを作る"
